POT_MW,ALT_TOTAL,ALT_TORRE,DIAM_ROTOR,DATA_ATUALIZACAO,EOL_VERSAO_ID,NOME_EOL,DEN_AEG,X,Y,VERSAO,DATUM_EMP,OPERACAO,FUSO_AG,PROPRIETARIO,OBJECTID,UF,CEG,LONG,LAT,SETOR
2.0,126.5,78.0,97.0,1666625847000,30625,Serra de Santana I,4,767720.0,9330326.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Gestamp Eólica Serra de Santana S.A.,149,RN,EOLCVRN030625-8-01,-36.58137597399997,-6.053131729999961,Nordeste
2.1,124.0,80.0,88.0,1666625847000,28788,Canoa Quebrada,UGE 07,639087.86,9506495.14,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),BVP Geradora de Energia S.A.,152,CE,EOLCVCE028788-1-01,-37.74637458099994,-4.4637311309999745,Nordeste
2.5,148.0,90.0,116.0,1666625847000,31742,Umburanas 10,UMB_10_02,215962.0,8821303.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Centrais Eólicas Umburanas 8 Ltda.,218,BA,EOLCVBA031742-0-01,-41.59620477699997,-10.65205007399993,Nordeste
2.3,139.0,98.0,82.0,1666625847000,28855,Palmares,PA 01,558825.0,6630728.0,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Parques Eólicos Palmares S.A.,220,RS,EOLCVRS028855-1-01,-50.38728127599995,-30.454168442999958,Sul
2.0,135.0,80.0,110.0,1666625847000,33648,Ventos da Santa Dulce,AEG 14,247330.0,8715592.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Enel Green Power Morro do Chapéu II Eólica S.A.,221,BA,EOLCVBA033648-3-01,-41.31720709199993,-11.609553052999956,Nordeste
3.0,182.5,120.0,125.0,1666625847000,31814,Itarema IX,ITA-IX-09,399491.0,9672053.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Eólica Itarema IX S.A.,222,CE,EOLCVCE031814-0-01,-39.90185004399996,-2.9542142839999315,Nordeste
1.6,121.25,80.0,82.5,1666625847000,30321,Igaporã,IGA_13,752810.0,8465406.0,Versão Válida,SAD69,Sim,UTM 23 S (MER -45),Centrais Eólicas Igaporã Ltda.,224,BA,EOLCVBA030321-6-01,-42.66125931399995,-13.870464794999975,Nordeste
0.9,99.0,77.0,44.0,1666625847000,28731,Pedra do Sal,WEC-6,198016.279,9687822.045,Versão Válida,SAD69,Sim,UTM 24 S (MER -39),Eólica Pedra do Sal S.A.,209,PI,EOLCVPI028731-8-01,-41.71609296799994,-2.8211501709999425,Nordeste
2.0,123.0,78.0,90.0,1666625847000,30545,Calango 3,CAL3-10,771601.0,9330325.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Calango 3 Energia Renovável S.A.,226,RN,EOLCVRN030545-6-01,-36.54667015499996,-6.0533797599999275,Nordeste
2.1,153.7,120.0,110.0,1666625847000,30925,Ventos de Horizonte,HO-06,645770.0,9487474.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Energia dos Ventos X S.A.,228,CE,EOLCVCE030925-7-01,-37.685845677999964,-4.635659542999974,Nordeste
2.1,175.0,120.0,110.0,1666625847000,32356,Potiguar,PO07,178060.0,9437338.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Usina de Energia Eólica Potiguar S.A.,229,RN,EOLCVRN032356-0-01,-35.903311954999936,-5.083902168999941,Nordeste
3.0,129.9,75.0,109.8,1666625847000,31403,Tabua,TAB - 03,761877.0,8415613.0,Versão Válida,SIRGAS2000,Sim,UTM 23 S (MER -45),Centrais Eólicas Tabua S.A.,230,BA,EOLCVBA031403-0-01,-42.57226013299993,-14.319069061999926,Nordeste
3.0,136.0,75.0,122.0,1666625847000,31407,Folha de Serra,FDS - 01,760974.0,8390553.0,Versão Válida,SIRGAS2000,Sim,UTM 23 S (MER -45),Centrais Eólicas Folha da Serra S.A.,231,BA,EOLCVBA031407-2-01,-42.57817870699995,-14.545535342999926,Nordeste
2.2,150.0,95.0,110.0,1666625847000,33666,Boa Esperança I,BE_9,169912.9999,9387286.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Eólica Boa Esperança I S.A.,217,RN,EOLCVRN033666-1-01,-35.97888843599998,-5.535748933999969,Nordeste
3.0,178.0,120.0,116.0,1666625847000,31484,Itarema III,5,406761.0,9673384.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Eólica Itarema III S.A.,170,CE,EOLCVCE031484-6-01,-39.838993235999965,-2.9546527499999797,Nordeste
2.3,139.0,98.0,82.0,1666625847000,30478,Fazenda Rosário 2,1,557186.0,6630297.0,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Parques Eólicos Palmares S.A.,171,RS,EOLCVRS030478-6-01,-50.40432766699996,-30.45813603499994,Sul
1.5,138.5,100.0,77.0,1666625847000,29062,Bom Jardim,UG 4,639311.315,6855220.3105,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Bom Jardim Energia Eólica S.A.,172,SC,EOLCVSC029062-9-01,-49.57761879499998,-28.422050773999956,Sul
1.7,130.0,80.0,100.0,1666625847000,31353,Ventos de Santa Brígida VI,BR6-11,745269.0,9018228.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Ventos de Santa Brígida VI Energias Renováveis S.A.,173,PE,EOLCVPE031353-0-01,-36.769837431999974,-8.87502453299993,Nordeste
2.0,126.5,78.0,97.0,1666625847000,30760,Chuí V,UG49,276439.3,6270572.66,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Eólica Chuí V S.A,176,RS,EOLCVRS030760-2-01,-53.41160794799998,-33.681274206999944,Sul
2.7,150.0,89.0,122.0,1666625847000,30842,Corredor do Senandes II,S2-06,374440.0,6414512.0,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),NCER Eólica Corredor do Senandes 2 S.A.,179,RS,EOLCVRS030842-0-01,-52.335073084999976,-32.399368581999965,Sul
1.6,130.0,80.0,100.0,1666625847000,30569,União dos Ventos 8,UV8-08,179950.111,9438750.343,Versão Válida,SAD69,Sim,UTM 25 S (MER -33),Esquina dos Ventos Geradora Eólica S.A.,180,RN,EOLCVRN030569-3-01,-35.88621400499994,-5.071200685999941,Nordeste
2.7,150.0,89.0,122.0,1666625847000,32102,Imburana Macho,IBM - 06,749573.0,8466645.0,Versão Válida,SIRGAS2000,Não,UTM 23 S (MER -45),Centrais Eólicas Imburana Macho S.A.,182,BA,EOLCVBA032102-8-01,-42.690898524999966,-13.859157163999953,Nordeste
0.8,99.6,75.6,48.0,1666625847000,29085,Albatroz,4,282349.0,9275220.0,Versão Válida,SAD69,Sim,UTM 25 S (MER -33),Vale dos Ventos Geradora Eólica S.A.,251,PB,EOLCVPB029085-8-01,-34.96871479299995,-6.553571224999928,Nordeste
1.7,123.0,80.0,86.0,1666625847000,30306,Seabra,SE 06,785896.0,8642496.0,Versão Válida,SIRGAS2000,Sim,UTM 23 S (MER -45),Seabra Energética S.A,253,BA,EOLCVBA030306-2-01,-42.37193160199996,-12.267288316999952,Nordeste
2.0,125.5,76.5,97.0,1666625847000,31563,Ventos de Guarás I,11,315638.0,8826324.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Ventos dos Guarás I Energias Renováveis S.A.,256,BA,EOLCVBA031563-0-01,-40.685230082999965,-10.612885550999977,Nordeste
1.6,130.0,80.0,100.0,1666625847000,30564,União dos Ventos 3,2,188015.0,9437244.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Ponta do Vento Leste Geradora Eólica S.A.,241,RN,EOLCVRN030564-2-01,-35.813614067999936,-5.0851495159999445,Nordeste
1.5,123.5,85.0,77.0,1666625847000,30279,Buriti,16,390749.0,9682177.0,Versão Válida,SAD69,Sim,UTM 24 S (MER -39),Nova Eólica Buriti S.A,258,CE,EOLCVCE030279-1-01,-39.98335084599995,-2.875354164999976,Nordeste
1.58,123.5,85.0,77.0,1666625847000,28440,Praia do Morgado,MG-01,362754.0,9688769.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Central Eólica Praia do Morgado S.A.,260,CE,EOLCVCE028440-8-01,-40.23477966099995,-2.8151245369999742,Nordeste
1.65,111.0,70.0,82.0,1666625847000,29015,Mandacaru,MDU-02,213972.0,9083835.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Eólica Gravatá Geradora de Energia S.A.,261,PE,EOLCVPE029015-7-01,-35.59649824799993,-8.279807397999946,Nordeste
2.0,133.0,98.0,70.0,1666625847000,28810,Osório,OS-10,568206.434,6684129.26,Versão Válida,WGS84,Sim,UTM 22 S (MER -51),Ventos do Sul Energia S.A.,262,RS,EOLCVRS028810-1-01,-50.29302305699997,-29.971799465999936,Sul
1.85,121.25,80.0,82.5,1666625847000,30738,Coqueirinho,COQ-089,756161.0,8405838.0,Versão Válida,WGS84,Sim,UTM 23 S (MER -45),Central Eólica Coqueirinho S.A.,263,BA,EOLCVBA030738-6-01,-42.62428564399994,-14.407911076999937,Nordeste
1.79,130.0,80.0,100.0,1666625847000,31517,Chuí 09,AGC09-10,277808.0,6271227.0,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Eólica Chuí IX S.A.,264,RS,EOLCVRS031517-6-01,-53.396691042999976,-33.67566482999996,Sul
2.0,126.5,78.0,97.0,1666625847000,30912,São Cristóvão,SC 12,473175.0,9639872.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Central Eólica São Cristóvão S.A.,202,CE,EOLCVCE030912-5-01,-39.24145646799997,-3.2581266799999753,Nordeste
2.35,153.5,99.5,108.0,1666625847000,30787,Modelo I,MODI 8,179478.0,9398359.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Enel Green Power Modelo I Eólica S.A.,205,RN,EOLCVRN030787-4-01,-35.892161915999964,-5.436133217999952,Nordeste
2.0,137.0,80.0,114.0,1666625847000,31487,Coxilha Seca,CS_AEG-8,624497.0916,6582195.6539,Versão Válida,SIRGAS2000,Sim,UTM 21 S (MER -57),Eletrosul Centrais Elétricas S/A,207,RS,EOLCVRS031487-0-01,-55.697489099999984,-30.886991200999944,Sul
3.0,178.0,120.0,116.0,1666625847000,31483,Itarema II,7,402703.0,9676439.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Eólica Itarema II S.A.,257,CE,EOLCVCE031483-8-01,-39.87548401099997,-2.9269888729999707,Nordeste
0.8,99.6,75.6,48.0,1666625847000,29088,Atlântica,21,281823.0,9275132.0,Versão Válida,SAD69,Sim,UTM 25 S (MER -33),Vale dos Ventos Geradora Eólica S.A,212,PB,EOLCVPB029088-2-01,-34.97347298999995,-6.554348112999946,Nordeste
1.68,122.0,80.0,82.5,1666625847000,30546,Seraíma,SER-10,747970.68185,8437207.87676,Versão Válida,SIRGAS2000,Sim,UTM 23 S (MER -45),Centrais Eólicas Seraima S.A.,213,BA,EOLCVBA030546-4-01,-42.703075103999936,-14.125252208999939,Nordeste
1.79,130.0,80.0,100.0,1666625847000,31600,Verace 27,AGV27-01,285963.0,6272853.0,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Eólica Hermenegildo I S.A.,282,RS,EOLCVRS031600-8-01,-53.30839839399994,-33.662685531999955,Sul
3.0,178.0,120.0,116.0,1666625847000,30457,Atlântica I,I-02,565771.0,6645316.0,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Atlântica I Parque Eólico S.A.,285,RS,EOLCVRS030457-3-01,-50.31585287199994,-30.322174273999963,Sul
3.0,178.0,120.0,116.0,1666625847000,30832,Carcará I,AEG9,723001.0,9449243.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Usina de Energia Eólica Carcará I S.A.,288,RN,EOLCVRN030832-3-01,-36.98881385599998,-4.979671003999954,Nordeste
1.6,121.25,80.0,82.5,1666625847000,30513,Asa Branca VII,AB-VII_18,171990.0,9416449.0,Versão Válida,SIRGAS2000,Sim,UTM 25 S (MER -33),Asa Branca VII Energias Renováveis Ltda.,273,RN,EOLCVRN030513-8-01,-35.95888138899994,-5.272373731999949,Nordeste
3.0,178.0,120.0,116.0,1666625847000,30462,Atlântica II,II-04,563456.0,6644102.0,Versão Válida,SIRGAS2000,Sim,UTM 22 S (MER -51),Atlântica II Parque Eólico S.A.,291,RS,EOLCVRS030462-0-01,-50.33985857099998,-30.33325259399993,Sul
2.1,137.0,93.0,88.0,1666625847000,30389,Mar e Terra,UG7,730747.0,9449551.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Eólica Mar e Terra Geração e Comercialização de Energia S.A.,292,RN,EOLCVRN030389-5-01,-36.918994149999946,-4.976669323999943,Nordeste
2.1,135.0,80.0,110.0,1666625847000,30750,Ibirapuitã I,7,629484.0,6595047.0,Versão Válida,SIRGAS2000,Sim,UTM 21 S (MER -57),Eólica Ibirapuitã S.A.,295,RS,EOLCVRS030750-5-01,-55.64695431499996,-30.770524424999962,Sul
2.7,150.0,89.0,122.0,1666625847000,30691,Ilha Grande,IG-04,422953.0,9660717.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Central Elétrica Ilha Grande Ltda.,296,CE,EOLCVCE030691-6-01,-39.69337304599998,-3.0693444159999785,Nordeste
2.1,137.5,90.0,95.0,1666625847000,30352,Faísa I,14,469309.0,9631576.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Eólica Faísa I Geração e Comercialização de Energia Ltda.,281,CE,EOLCVCE030352-6-01,-39.27627544799998,-3.333170844999927,Nordeste
2.0,135.0,80.0,110.0,1666625847000,32521,Delfina III,5,288724.0,8894030.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Enel Green Power Delfina B Eólica S.A.,234,BA,EOLCVBA032521-0-01,-40.927432549999935,-9.999459859999945,Nordeste
2.3,122.0,80.0,84.0,1666625847000,30726,Primavera,AEG12,241999.0,8704919.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Enel Green Power Primavera Eólica S.A.,235,BA,EOLCVBA030726-2-01,-41.36688527399997,-11.705596211999932,Nordeste
2.5,148.0,90.0,116.0,1666625847000,33635,Umburanas 19,UMB_19_07,227006.0,8825366.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Centrais Eólicas Umburanas 15 Ltda.,236,BA,EOLCVBA033635-1-01,-41.49502812999998,-10.616158582999958,Nordeste
1.6,130.0,80.0,100.0,1666625847000,30565,União dos Ventos 4,UV4-06,190015.02,9437110.99,Versão Válida,SAD69,Sim,UTM 25 S (MER -33),Torres de São Miguel Geradora Eólica S.A.,237,RN,EOLCVRN030565-0-01,-35.795596788999944,-5.086429834999933,Nordeste
1.85,121.25,80.0,82.5,1666625847000,30751,Inhambu,INH-045,759412.0,8406969.0,Versão Válida,WGS84,Sim,UTM 23 S (MER -45),Central Eólica Inhambu S.A.,239,BA,EOLCVBA030751-3-01,-42.59426323699995,-14.397388884999941,Nordeste
2.0,135.0,80.0,110.0,1666625847000,32357,Delfina I,AEG 11,284801.0,8889143.0,Versão Válida,SIRGAS2000,Sim,UTM 24 S (MER -39),Enel Green Power Delfina A Eólica S.A.,240,BA,EOLCVBA032357-8-01,-40.96347284199993,-10.043425386999957,Nordeste
